trace_key,trace_label,workload_group,method,speedup,improvement_pct
627.cam4_s-573B,cam4,SPEC17,LLM,0.9995327102803737,-0.046728971962628485
627.cam4_s-573B,cam4,SPEC17,MLP,1.0,0.0
627.cam4_s-573B,cam4,SPEC17,Pythia,1.0,0.0
627.cam4_s-573B,cam4,SPEC17,SPP+PPF,0.997663551401869,-0.23364485981309802
627.cam4_s-573B,cam4,SPEC17,uMAMA,1.0,0.0
649.fotonik3d_s-1176B,fotonik3d,SPEC17,LLM,1.242128603104213,24.21286031042129
649.fotonik3d_s-1176B,fotonik3d,SPEC17,MLP,1.3476718403547674,34.76718403547674
649.fotonik3d_s-1176B,fotonik3d,SPEC17,Pythia,1.273170731707317,27.31707317073171
649.fotonik3d_s-1176B,fotonik3d,SPEC17,SPP+PPF,0.9476718403547673,-5.232815964523274
649.fotonik3d_s-1176B,fotonik3d,SPEC17,uMAMA,1.326829268292683,32.6829268292683
602.gcc_s-734B,gcc,SPEC17,LLM,1.0473289597000937,4.732895970009365
602.gcc_s-734B,gcc,SPEC17,MLP,1.076382380506092,7.638238050609192
602.gcc_s-734B,gcc,SPEC17,Pythia,1.0740393626991565,7.403936269915645
602.gcc_s-734B,gcc,SPEC17,SPP+PPF,0.9981255857544518,-0.18744142455482393
602.gcc_s-734B,gcc,SPEC17,uMAMA,1.0487347703842549,4.873477038425489
623.xalancbmk_s-165B,xalancbmk,SPEC17,LLM,1.018886679920477,1.888667992047699
623.xalancbmk_s-165B,xalancbmk,SPEC17,MLP,1.043737574552684,4.373757455268401
623.xalancbmk_s-165B,xalancbmk,SPEC17,Pythia,1.0432405566600398,4.324055666003979
623.xalancbmk_s-165B,xalancbmk,SPEC17,SPP+PPF,0.9269383697813122,-7.306163021868784
623.xalancbmk_s-165B,xalancbmk,SPEC17,uMAMA,1.044234592445328,4.423459244532801
657.xz_s-56B,xz,SPEC17,LLM,1.0,0.0
657.xz_s-56B,xz,SPEC17,MLP,1.0,0.0
