iteration,policy,epoch,pos_rows,base,top1_hit,top4_hit,top4_wrecall,top4_precision
0,mlp,5,66715,0.0737,0.6411,0.823,0.6695,0.4494
0,lgbm,-1,89291,0.0819,0.6186,0.8252,0.6478,0.4541
1,mlp,1,66251,0.0679,0.5468,0.76,0.5866,0.3506
1,lgbm,-1,89292,0.0763,0.5126,0.7673,0.5685,0.3608
2,mlp,6,64410,0.0666,0.4314,0.7078,0.5189,0.3207
2,lgbm,-1,87464,0.0737,0.3848,0.7024,0.494,0.3258
3,mlp,3,49383,0.055,0.4112,0.6398,0.4535,0.2714
3,lgbm,-1,68812,0.064,0.3643,0.6559,0.4609,0.2976
4,mlp,2,45383,0.0538,0.3906,0.6062,0.452,0.2653
4,lgbm,-1,64028,0.0631,0.3696,0.6459,0.4623,0.2963
