cycles,instructions,ipc,l2_load_miss,l2_pf_accuracy,l2_pf_issued,l2_pf_useful,log,method,trace
30041789,20000000,0.6657,25062,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.out,no_l2,Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599
18288487,20000000,1.094,89412,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.out,no_l2,Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M
9373581,20000005,2.134,7291,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/SPEC17/602.gcc_s-734B.out,no_l2,SPEC17/602.gcc_s-734B
9941210,20000002,2.012,12624,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/SPEC17/623.xalancbmk_s-165B.out,no_l2,SPEC17/623.xalancbmk_s-165B
9346007,20000004,2.14,2118,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/SPEC17/627.cam4_s-573B.out,no_l2,SPEC17/627.cam4_s-573B
8870282,20000000,2.255,14772,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/SPEC17/649.fotonik3d_s-1176B.out,no_l2,SPEC17/649.fotonik3d_s-1176B
7221745,20000000,2.769,0,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/SPEC17/657.xz_s-56B.out,no_l2,SPEC17/657.xz_s-56B
14426856,20000005,1.386,131731,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/ai-ml/bark.cpp-bark-small.semantic_token_gen.3.out,no_l2,ai-ml/bark.cpp-bark-small.semantic_token_gen.3
9377382,20000006,2.133,87698,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/ai-ml/llama2.c-stories15M.1.out,no_l2,ai-ml/llama2.c-stories15M.1
7140878,20000004,2.801,55862,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/ai-ml/whisper_trace_1.out,no_l2,ai-ml/whisper_trace_1
13482678,20000000,1.483,26540,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/gtrace_v2/arizona/arizona_0000.out,no_l2,gtrace_v2/arizona/arizona_0000
41041034,20000005,0.4873,199187,0,0,0,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/no_l2/gtrace_v2/yankee/yankee_0010.out,no_l2,gtrace_v2/yankee/yankee_0010
30307452,20000000,0.6599,25130,0.018819,114828,2161,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.out,ppf,Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599
19641816,20000000,1.018,95205,0.076040,38414,2921,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.out,ppf,Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M
9388027,20000000,2.13,7352,0.044327,85185,3776,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/SPEC17/602.gcc_s-734B.out,ppf,SPEC17/602.gcc_s-734B
10721786,20000005,1.865,18768,0.103891,54557,5668,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/SPEC17/623.xalancbmk_s-165B.out,ppf,SPEC17/623.xalancbmk_s-165B
9366789,20000004,2.135,2546,0.001090,29358,32,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/SPEC17/627.cam4_s-573B.out,ppf,SPEC17/627.cam4_s-573B
9359095,20000000,2.137,15013,0.064167,41984,2694,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/SPEC17/649.fotonik3d_s-1176B.out,ppf,SPEC17/649.fotonik3d_s-1176B
7221745,20000000,2.769,0,0.179083,1396,250,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/SPEC17/657.xz_s-56B.out,ppf,SPEC17/657.xz_s-56B
14809053,20000007,1.351,131056,0.036124,150759,5446,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/ai-ml/bark.cpp-bark-small.semantic_token_gen.3.out,ppf,ai-ml/bark.cpp-bark-small.semantic_token_gen.3
9940709,20000004,2.012,79775,0.030007,163160,4896,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/ai-ml/llama2.c-stories15M.1.out,ppf,ai-ml/llama2.c-stories15M.1
7283428,20000006,2.746,55162,0.026130,60773,1588,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/ai-ml/whisper_trace_1.out,ppf,ai-ml/whisper_trace_1
13587685,20000000,1.472,26703,0.052158,25806,1346,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/gtrace_v2/arizona/arizona_0000.out,ppf,gtrace_v2/arizona/arizona_0000
41513428,20000002,0.4818,200232,0.023456,43529,1021,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/ppf/gtrace_v2/yankee/yankee_0010.out,ppf,gtrace_v2/yankee/yankee_0010
30287726,20000000,0.6603,24033,0.158841,385208,61187,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.out,pythia,Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599
14910767,20000000,1.341,42488,0.081266,1893087,153844,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.out,pythia,Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M
8725615,20000004,2.292,4588,0.062016,1927411,119531,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/SPEC17/602.gcc_s-734B.out,pythia,SPEC17/602.gcc_s-734B
9528982,20000002,2.099,1338,0.145955,1410798,205913,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/SPEC17/623.xalancbmk_s-165B.out,pythia,SPEC17/623.xalancbmk_s-165B
9343932,20000004,2.14,1807,0.005592,329753,1844,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/SPEC17/627.cam4_s-573B.out,pythia,SPEC17/627.cam4_s-573B
6965314,20000002,2.871,4328,0.115405,1210471,139694,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/SPEC17/649.fotonik3d_s-1176B.out,pythia,SPEC17/649.fotonik3d_s-1176B
7221740,20000000,2.769,0,0.185819,43042,7998,cluster_final_60m80m/from_echo/final_60m80m_20260701_011126/runs/pythia/SPEC17/657.xz_s-56B.out,pythia,SPEC17/657.xz_s-56B
