binary,checkpoint,dagger_driver,geo_ipc,header,iteration,kind,l2_pf_accuracy,l2_pf_issued,l2_pf_useful,name,policy,threshold,traces
,,,1.770540,,0,mlp_val,0.463515,2403296,1113964,iter00_mlp_val_-2,mlp,-2,12
,,,1.722272,,0,mlp_val,0.349158,1462675,510704,iter00_mlp_val_-0.5,mlp,-0.5,12
,,,1.707568,,0,mlp_val,0.337965,1131055,382257,iter00_mlp_val_0,mlp,0,12
,,,1.724611,,0,lgbm_val,0.388661,1360637,528827,iter00_lgbm_val_-0.5,lgbm,-0.5,12
,,,1.702106,,0,lgbm_val,0.378984,1007726,381912,iter00_lgbm_val_0,lgbm,0,12
,,,1.692490,,0,lgbm_val,0.363465,773931,281297,iter00_lgbm_val_0.5,lgbm,0.5,12
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/models/mlp/candidate_mlp.pt,,1.770540,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/headers/mlp/ml_l2_weights_candidate.h,0,model_selected,,,,iter00_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/models/mlp/candidate_mlp.pt,mlp,1.770540,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/headers/mlp/ml_l2_weights_candidate.h,0,dagger_collector_selected,,,,iter00_mlp_collector_threshold,mlp,-2,
,,,1.811063,,1,mlp_val,0.539547,2537384,1369037,iter01_mlp_val_-2,mlp,-2,12
,,,1.768161,,1,mlp_val,0.511545,2002896,1024571,iter01_mlp_val_-0.5,mlp,-0.5,12
,,,1.752463,,1,mlp_val,0.479108,1698654,813838,iter01_mlp_val_0,mlp,0,12
,,,1.752624,,1,lgbm_val,0.490652,1997012,979838,iter01_lgbm_val_-0.5,lgbm,-0.5,12
,,,1.739540,,1,lgbm_val,0.460769,1638395,754922,iter01_lgbm_val_0,lgbm,0,12
,,,1.723943,,1,lgbm_val,0.442782,1373169,608014,iter01_lgbm_val_0.5,lgbm,0.5,12
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/models/mlp/candidate_mlp.pt,,1.811063,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/headers/mlp/ml_l2_weights_candidate.h,1,model_selected,,,,iter01_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/models/mlp/candidate_mlp.pt,mlp,1.811063,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/headers/mlp/ml_l2_weights_candidate.h,1,dagger_collector_selected,,,,iter01_mlp_collector_threshold,mlp,-2,
,,,1.832542,,2,mlp_val,0.548775,2676961,1469050,iter02_mlp_val_-2,mlp,-2,12
,,,1.782023,,2,mlp_val,0.532158,2064170,1098464,iter02_mlp_val_-0.5,mlp,-0.5,12
,,,1.766516,,2,mlp_val,0.528030,1879216,992282,iter02_mlp_val_0,mlp,0,12
,,,1.755007,,2,lgbm_val,0.495337,2101336,1040870,iter02_lgbm_val_-0.5,lgbm,-0.5,12
,,,1.747757,,2,lgbm_val,0.487420,1687722,822630,iter02_lgbm_val_0,lgbm,0,12
,,,1.729313,,2,lgbm_val,0.474482,1350805,640932,iter02_lgbm_val_0.5,lgbm,0.5,12
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/models/mlp/candidate_mlp.pt,,1.832542,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/headers/mlp/ml_l2_weights_candidate.h,2,model_selected,,,,iter02_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/models/mlp/candidate_mlp.pt,mlp,1.832542,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/headers/mlp/ml_l2_weights_candidate.h,2,dagger_collector_selected,,,,iter02_mlp_collector_threshold,mlp,-2,
,,,1.842861,,3,mlp_val,0.536197,2786360,1494037,iter03_mlp_val_-2,mlp,-2,12
,,,1.772500,,3,mlp_val,0.534001,2005804,1071101,iter03_mlp_val_-0.5,mlp,-0.5,12
,,,1.745914,,3,mlp_val,0.515515,1721881,887655,iter03_mlp_val_0,mlp,0,12
,,,1.756466,,3,lgbm_val,0.485523,2023807,982605,iter03_lgbm_val_-0.5,lgbm,-0.5,12
,,,1.737745,,3,lgbm_val,0.471043,1648211,776378,iter03_lgbm_val_0,lgbm,0,12
,,,1.713413,,3,lgbm_val,0.446281,1236274,551725,iter03_lgbm_val_0.5,lgbm,0.5,12
