binary,checkpoint,dagger_driver,geo_ipc,header,iteration,kind,l2_pf_accuracy,l2_pf_issued,l2_pf_useful,name,policy,threshold,traces
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/models/mlp/candidate_mlp.pt,,1.770540,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/headers/mlp/ml_l2_weights_candidate.h,0,model_selected,,,,iter00_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/models/mlp/candidate_mlp.pt,mlp,1.770540,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/headers/mlp/ml_l2_weights_candidate.h,0,dagger_collector_selected,,,,iter00_mlp_collector_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/models/mlp/candidate_mlp.pt,,1.811063,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/headers/mlp/ml_l2_weights_candidate.h,1,model_selected,,,,iter01_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/models/mlp/candidate_mlp.pt,mlp,1.811063,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/headers/mlp/ml_l2_weights_candidate.h,1,dagger_collector_selected,,,,iter01_mlp_collector_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/models/mlp/candidate_mlp.pt,,1.832542,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/headers/mlp/ml_l2_weights_candidate.h,2,model_selected,,,,iter02_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/models/mlp/candidate_mlp.pt,mlp,1.832542,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter02/headers/mlp/ml_l2_weights_candidate.h,2,dagger_collector_selected,,,,iter02_mlp_collector_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/models/mlp/candidate_mlp.pt,,1.842861,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/headers/mlp/ml_l2_weights_candidate.h,3,model_selected,,,,iter03_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/models/mlp/candidate_mlp.pt,mlp,1.842861,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/headers/mlp/ml_l2_weights_candidate.h,3,dagger_collector_selected,,,,iter03_mlp_collector_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/models/mlp/candidate_mlp.pt,,1.840480,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/headers/mlp/ml_l2_weights_candidate.h,4,model_selected,,,,iter04_mlp_selected_threshold,mlp,-2,
results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/build/mlp/bin/1C.fullBW.l1_berti.l2_ml_l2,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/models/mlp/candidate_mlp.pt,mlp,1.840480,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/headers/mlp/ml_l2_weights_candidate.h,4,dagger_collector_selected,,,,iter04_mlp_collector_threshold,mlp,-2,
