source_iteration,source_iteration_num,source_attempt,source_result_set,traces,geomean_ipc,mean_ipc,total_l2_pf_issued,total_l2_pf_useful,total_l2_pf_accuracy,total_prefetch_requests,total_no_prefetch_decisions
iter_000_seed,0,seed,iter_000_seed,5,0.720346,1.14138,0,0,,0,10994105
iter_001,1,attempt_01,iter_001/attempt_01,3,1.486855,1.8079,539314,155430,0.288199,1129663,1541083
iter_002,2,attempt_01,iter_002/attempt_01,3,1.497941,1.822567,567086,175828,0.310055,1177863,1560584
iter_003,3,attempt_01,iter_003/attempt_01,4,0.804093,1.386,1885806,563692,0.298913,3067401,7850715
iter_004,4,attempt_01,iter_004/attempt_01,4,0.804093,1.386,1885806,563692,0.298913,3067401,7850715
iter_005,5,attempt_01,iter_005/attempt_01,4,0.794894,1.35915,1510334,527839,0.349485,2429099,8301039
iter_006,6,attempt_01,iter_006/attempt_01,4,0.804093,1.386,1885806,563692,0.298913,3067401,7850715
iter_007,7,attempt_01,iter_007/attempt_01,4,0.81006,1.386725,455544,132812,0.291546,1201719,9118332
iter_008,8,attempt_01,iter_008/attempt_01,4,0.810096,1.38675,448235,130466,0.291066,1187599,9129920
iter_009,9,attempt_01,iter_009/attempt_01,4,0.820915,1.42125,482294,157031,0.325592,1233613,9238997
iter_009,9,attempt_02,iter_009/attempt_02,1,0.5308,0.5308,694,446,0.642651,4065,907936
iter_010,10,attempt_01,iter_010/attempt_01,2,2.491206,2.497,488572,158380,0.324169,1031257,1301708
iter_011,11,attempt_01,iter_011/attempt_01,2,2.463969,2.468,507351,156805,0.309066,1074809,1307972
iter_012,12,attempt_01,iter_012/attempt_01,2,2.482317,2.4875,487506,157991,0.32408,1039174,1320919
iter_013,13,attempt_01,iter_013/attempt_01,2,2.492607,2.4985,482272,157031,0.325607,1024470,1297694
iter_014,14,attempt_01,iter_014/attempt_01,2,2.471513,2.476,471040,149252,0.316856,1012242,1284809
iter_015,15,attempt_01,iter_015/attempt_01,2,1.111383,1.4289,213163,49661,0.232972,500956,1406821
iter_016,16,attempt_01,iter_016/attempt_01,2,1.111383,1.4289,213163,49661,0.232972,500956,1406821
iter_017,17,attempt_01,iter_017/attempt_01,2,1.111383,1.4289,213163,49661,0.232972,500956,1406821
iter_018,18,attempt_01,iter_018/attempt_01,2,1.113797,1.4343,200487,51243,0.255593,465326,1430521
iter_018,18,attempt_02,iter_018/attempt_02,3,0.579984,1.1171,263863,109278,0.414147,727079,8747893
