iteration,trace,trace_path,warmup_instructions,simulation_instructions,state_dump,log_path,ipc,instructions,cycles,llm_triggers,llm_demand_triggers,llm_upper_prefetch_triggers,llm_useful_hits,state_rows_dumped,warmup_rows_skipped,decision_triggers,decision_candidates,prefetch_requests,no_prefetch_decisions,l2_total_access,l2_total_hit,l2_total_miss,l2_total_mshr_merge,l2_pf_requested,l2_pf_issued,l2_pf_useful,l2_pf_useless,source_results_csv,source_result_set,source_iteration,source_iteration_num,source_attempt,trace_short,workload_group,l2_pf_accuracy,attempt,source_shard
iter_000_seed,yankee_abstention,traces/gtrace_v2/yankee/yankee_0010.champsim.gz,20000000,20000000,external/champsim_llm/llm_iterations/iter_000_seed/states/yankee_abstention.states.csv,external/champsim_llm/llm_results/iter_000_seed/logs/yankee_abstention.log,0.5552,20000001,36024650,421142,306819,114323,0,2724,148837,421142,0,0,421142,692434,457858,234576,5959,0,0,0,0,external/champsim_llm/llm_results/iter_000_seed/metrics/results.csv,iter_000_seed,iter_000_seed,0,seed,yankee_abstention,GTrace,,,
iter_000_seed,fotonik3d_prefetch_friendly,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,20000000,20000000,external/champsim_llm/llm_iterations/iter_000_seed/states/fotonik3d_prefetch_friendly.states.csv,external/champsim_llm/llm_results/iter_000_seed/logs/fotonik3d_prefetch_friendly.log,2.268,20000002,8819396,1015106,144921,870185,0,7185,296705,1015106,0,0,1015106,887165,650755,236410,60150,0,0,0,0,external/champsim_llm/llm_results/iter_000_seed/metrics/results.csv,iter_000_seed,iter_000_seed,0,seed,fotonik3d_prefetch_friendly,SPEC17,,,
iter_000_seed,gcc_spec_control,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,20000000,20000000,external/champsim_llm/llm_iterations/iter_000_seed/states/gcc_spec_control.states.csv,external/champsim_llm/llm_results/iter_000_seed/logs/gcc_spec_control.log,2.222,20000000,9002763,940963,291709,649254,0,5685,372533,940963,0,0,940963,518115,289876,228239,40450,0,0,0,0,external/champsim_llm/llm_results/iter_000_seed/metrics/results.csv,iter_000_seed,iter_000_seed,0,seed,gcc_spec_control,SPEC17,,,
iter_000_seed,omnetpp_irregular_spec,traces/SPEC17/620.omnetpp_s-874B.champsimtrace.xz,20000000,20000000,external/champsim_llm/llm_iterations/iter_000_seed/states/omnetpp_irregular_spec.states.csv,external/champsim_llm/llm_results/iter_000_seed/logs/omnetpp_irregular_spec.log,0.5312,20000004,37652278,908137,655420,252717,0,4809,427316,908137,0,0,908137,798697,522094,276603,5803,0,0,0,0,external/champsim_llm/llm_results/iter_000_seed/metrics/results.csv,iter_000_seed,iter_000_seed,0,seed,omnetpp_irregular_spec,SPEC17,,,
iter_000_seed,gap_pr_graph,traces/Graph/GAP/pr-3.trace.gz,20000000,20000000,external/champsim_llm/llm_iterations/iter_000_seed/states/gap_pr_graph.states.csv,external/champsim_llm/llm_results/iter_000_seed/logs/gap_pr_graph.log,0.1305,20000003,153236788,7708757,5017580,2691177,0,50000,1756771,7708757,0,0,7708757,5961511,4167176,1794335,253231,0,0,0,0,external/champsim_llm/llm_results/iter_000_seed/metrics/results.csv,iter_000_seed,iter_000_seed,0,seed,gap_pr_graph,Graph-GAP,,,
iter_001,fotonik3d_prefetch_friendly,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,20000000,20000000,,external/champsim_llm/llm_results/iter_001/attempt_01/logs/fotonik3d_prefetch_friendly.log,2.53,20000001,7906116,1095679,151323,944356,205151,,,1095679,1239710,485542,718672,1094187,819723,274464,98315,236175,235983,81802,121,external/champsim_llm/llm_results/iter_001/attempt_01/metrics/results.csv,iter_001/attempt_01,iter_001,1,attempt_01,fotonik3d_prefetch_friendly,SPEC17,0.346644,attempt_01,
iter_001,gcc_spec_control,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,20000000,20000000,,external/champsim_llm/llm_results/iter_001/attempt_01/logs/gcc_spec_control.log,2.338,20000000,8554031,875928,306053,569875,187758,,,875928,1050793,512929,506534,722530,453862,268668,75480,229249,228741,56981,36599,external/champsim_llm/llm_results/iter_001/attempt_01/metrics/results.csv,iter_001/attempt_01,iter_001,1,attempt_01,gcc_spec_control,SPEC17,0.249107,attempt_01,
iter_001,yankee_abstention,traces/gtrace_v2/yankee/yankee_0010.champsim.gz,20000000,20000000,,external/champsim_llm/llm_results/iter_001/attempt_01/logs/yankee_abstention.log,0.5557,20000001,35992565,420402,306343,114059,21910,,,420402,261676,131192,315877,765387,502633,262754,13507,74939,74590,16647,11619,external/champsim_llm/llm_results/iter_001/attempt_01/metrics/results.csv,iter_001/attempt_01,iter_001,1,attempt_01,yankee_abstention,GTrace,0.22318,attempt_01,
iter_002,fotonik3d_prefetch_friendly,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,20000000,20000000,,external/champsim_llm/llm_results/iter_002/attempt_01/logs/fotonik3d_prefetch_friendly.log,2.584,20000002,7738889,1085296,153362,931934,214914,,,1085296,1803080,494492,744271,1097934,824291,273643,97400,246075,245360,92418,129,external/champsim_llm/llm_results/iter_002/attempt_01/metrics/results.csv,iter_002/attempt_01,iter_002,2,attempt_01,fotonik3d_prefetch_friendly,SPEC17,0.376663,attempt_01,
iter_002,gcc_spec_control,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,20000000,20000000,,external/champsim_llm/llm_results/iter_002/attempt_01/logs/gcc_spec_control.log,2.324,20000000,8605992,861584,306946,554638,200594,,,861584,1432727,539080,495251,722124,460842,261282,67464,240767,239729,64903,35877,external/champsim_llm/llm_results/iter_002/attempt_01/metrics/results.csv,iter_002/attempt_01,iter_002,2,attempt_01,gcc_spec_control,SPEC17,0.270735,attempt_01,
