cycles,elapsed_s,instructions,ipc,l2_load_access,l2_load_miss,l2_pf_accuracy,l2_pf_issued,l2_pf_requested,l2_pf_useful,l2_pf_useless,l2_prefetch_access,l2_prefetch_miss,l2_rfo_access,l2_rfo_miss,l2_total_access,l2_total_miss,labels_debug,labels_npz,log,ml_l2_requests,mode,policy,returncode,state_dump,threshold,trace,trace_id
28229260,1922.2,20000001,0.7085,24135,20293,0.337890,171707,171707,58018,78310,2397970,256558,94,12,2440587,285402,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,311395,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/states.csv,-2,traces/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz,Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz
13725959,567.0,20000001,1.457,645788,35434,0.621996,169350,169350,105335,37584,445190,246832,1207,0,1094737,282623,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,341713,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/states.csv,-2,traces/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz
8334835,388.8,20000005,2.4,17786,4081,0.582501,171598,171598,99956,52123,613596,274402,853,1,638571,280242,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,335816,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/states.csv,-2,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,SPEC17_602.gcc_s-734B.champsimtrace.xz
9500388,467.0,20000001,2.105,15970,1019,0.623944,332514,333945,207470,35921,759621,337637,49,43,775840,338731,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,564407,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/states.csv,-2,traces/SPEC17/623.xalancbmk_s-165B.champsimtrace.xz,SPEC17_623.xalancbmk_s-165B.champsimtrace.xz
7026403,130.2,20000000,2.846,23507,2408,0.117436,8660,9182,1017,206,176264,9498,10236,1788,225623,13761,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,17523,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/states.csv,-2,traces/SPEC17/627.cam4_s-573B.champsimtrace.xz,SPEC17_627.cam4_s-573B.champsimtrace.xz
7000776,518.8,20000005,2.857,111525,5057,0.914769,131549,131549,120337,1064,683563,275849,308,0,971565,281265,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,290395,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/states.csv,-2,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz
7221654,98.0,20000003,2.769,0,0,0.996677,8126,8126,8099,0,17133,8413,0,0,17149,8429,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,16266,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/states.csv,-2,traces/SPEC17/657.xz_s-56B.champsimtrace.xz,SPEC17_657.xz_s-56B.champsimtrace.xz
10381623,1724.9,20000001,1.926,433692,80666,0.558294,375988,378603,209912,53002,1367687,738283,36861,35028,1878981,855440,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,803792,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/states.csv,-2,traces/ai-ml/bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz,ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz
9076027,1223.3,20000003,2.204,159822,85059,0.145165,662520,662589,96175,213778,2155891,2109287,2361,2157,2322544,2197947,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,1300314,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/states.csv,-2,traces/ai-ml/llama2.c-stories15M.1.champsimtrace.gz,ai-ml_llama2.c-stories15M.1.champsimtrace.gz
6957890,360.0,20000007,2.874,453928,45862,0.732670,99278,99299,72738,1831,461647,167884,3901,3288,926950,217338,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_whisper_trace_1.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_whisper_trace_1.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_whisper_trace_1.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,203934,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/ai-ml_whisper_trace_1.champsimtrace.gz/states.csv,-2,traces/ai-ml/whisper_trace_1.champsimtrace.gz,ai-ml_whisper_trace_1.champsimtrace.gz
13430410,366.7,20000002,1.489,26333,9881,0.620050,49188,49188,30499,11873,1041131,59738,30368,25003,1132877,96696,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/train_20M_20M_mlp_thr_m2.out,86987,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/states.csv,-2,traces/gtrace_v2/arizona/arizona_0000.champsim.gz,gtrace_v2_arizona_arizona_0000.champsim.gz
36992205,549.3,20000000,0.5407,367128,151598,0.189169,102242,102338,19341,45929,193062,83742,72019,53080,793450,311109,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/train_20M_20M_mlp_thr_m2.out,165679,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter01/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/states.csv,-2,traces/gtrace_v2/yankee/yankee_0010.champsim.gz,gtrace_v2_yankee_yankee_0010.champsim.gz
