cycles,elapsed_s,instructions,ipc,l2_load_access,l2_load_miss,l2_pf_accuracy,l2_pf_issued,l2_pf_requested,l2_pf_useful,l2_pf_useless,l2_prefetch_access,l2_prefetch_miss,l2_rfo_access,l2_rfo_miss,l2_total_access,l2_total_miss,log,ml_l2_requests,mode,policy,returncode,state_dump,threshold,trace,trace_id
28507711,1698.5,20000001,0.7016,24190,20157,0.245648,253472,253617,62265,147676,2687618,335293,93,12,2730330,365170,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,420766,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/states.csv,-2,traces/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz,Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz
12470588,496.7,20000001,1.604,646014,27690,0.859278,174657,178640,150079,11735,633661,208982,1207,0,1283427,237036,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,376447,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/states.csv,-2,traces/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz
8411450,317.3,20000000,2.378,16875,3752,0.722337,194491,195821,140488,38137,615217,242390,827,1,639210,247891,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,373663,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/states.csv,-2,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,SPEC17_602.gcc_s-734B.champsimtrace.xz
9459450,416.9,20000001,2.114,15872,460,0.727049,356555,357187,259233,25334,782185,332606,50,44,798298,333133,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,626777,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/states.csv,-2,traces/SPEC17/623.xalancbmk_s-165B.champsimtrace.xz,SPEC17_623.xalancbmk_s-165B.champsimtrace.xz
7038185,121.9,20000000,2.842,23579,2370,0.118060,10393,14370,1227,312,170980,10595,10222,1782,220411,14816,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,23905,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/states.csv,-2,traces/SPEC17/627.cam4_s-573B.champsimtrace.xz,SPEC17_627.cam4_s-573B.champsimtrace.xz
6430270,333.6,20000004,3.11,111588,2394,0.935815,159164,175071,148948,991,690146,246672,308,0,978213,249427,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,339184,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/states.csv,-2,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz
7221654,85.1,20000003,2.769,0,0,0.986770,8239,8239,8130,0,17246,8476,0,0,17262,8492,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,16512,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/states.csv,-2,traces/SPEC17/657.xz_s-56B.champsimtrace.xz,SPEC17_657.xz_s-56B.champsimtrace.xz
9618460,1614.9,20000005,2.079,452847,71734,0.648125,415696,610835,269423,69237,1368214,727715,36864,34996,1898655,835908,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,1264617,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/states.csv,-2,traces/ai-ml/bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz,ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz
8418125,919.2,20000004,2.376,137698,57626,0.232529,671920,732393,156241,392761,2045514,1982204,2360,2033,2190041,2043306,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,1551432,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/states.csv,-2,traces/ai-ml/llama2.c-stories15M.1.champsimtrace.gz,ai-ml_llama2.c-stories15M.1.champsimtrace.gz
6656871,310.4,20000001,3.004,452628,35863,0.866276,113039,126211,97923,1956,458669,163528,3831,3288,922517,202985,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/ai-ml_whisper_trace_1.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,265631,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/ai-ml_whisper_trace_1.champsimtrace.gz/states.csv,-2,traces/ai-ml/whisper_trace_1.champsimtrace.gz,ai-ml_whisper_trace_1.champsimtrace.gz
13398577,271.4,20000002,1.493,26462,9418,0.603477,57293,57394,34575,17498,1079925,63014,30384,25229,1171817,99746,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/train_20M_20M_mlp_thr_m2.out,100339,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/states.csv,-2,traces/gtrace_v2/arizona/arizona_0000.champsim.gz,gtrace_v2_arizona_arizona_0000.champsim.gz
37427686,487.0,20000000,0.5344,367177,153543,0.193438,158376,158941,30636,86592,248158,137842,71951,51314,848505,366770,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/train_20M_20M_mlp_thr_m2.out,235780,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter03/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/states.csv,-2,traces/gtrace_v2/yankee/yankee_0010.champsim.gz,gtrace_v2_yankee_yankee_0010.champsim.gz
